sex,age,age_cat,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,is_recid,is_violent_recid
Male,69,Greater than 45,Other,0,1,0,0,0,No,0
Male,34,25 - 45,African-American,0,3,0,0,0,Yes,1
Male,24,Less than 25,African-American,0,4,0,1,4,Yes,0
Male,23,Less than 25,African-American,0,8,1,0,1,No,0
Male,43,25 - 45,Other,0,1,0,0,2,No,0
Male,44,25 - 45,Other,0,1,0,0,0,No,0
Male,41,25 - 45,Caucasian,0,6,0,0,14,Yes,0
Male,43,25 - 45,Other,0,4,0,0,3,No,0
Female,39,25 - 45,Caucasian,0,1,0,0,0,No,0
Male,20,Less than 25,Caucasian,0,10,0,1,0,No,0
Female,26,25 - 45,Caucasian,0,5,0,0,0,No,0
Male,21,Less than 25,Caucasian,0,3,0,0,1,Yes,1
Male,27,25 - 45,Caucasian,0,4,0,0,0,No,0
Male,23,Less than 25,African-American,0,6,0,0,3,Yes,0
Female,37,25 - 45,Caucasian,0,1,0,0,0,No,0
Male,22,Less than 25,Caucasian,0,3,0,0,0,No,0
Male,41,25 - 45,African-American,0,4,0,0,0,No,0
Female,47,Greater than 45,Caucasian,0,1,0,0,1,Yes,0
Male,31,25 - 45,African-American,0,3,0,0,7,Yes,0
Male,37,25 - 45,Hispanic,0,1,0,0,0,No,0
Male,25,25 - 45,African-American,0,10,0,0,3,No,0
Male,31,25 - 45,Caucasian,0,5,0,0,6,Yes,1
Male,31,25 - 45,Caucasian,0,3,0,0,5,Yes,0
Male,64,Greater than 45,African-American,0,6,0,0,13,Yes,0
Male,21,Less than 25,African-American,0,9,0,0,1,Yes,0
Male,27,25 - 45,Caucasian,0,2,0,0,0,Yes,0
Female,21,Less than 25,Caucasian,0,4,0,0,0,No,0
Male,24,Less than 25,African-American,0,-1,0,0,2,Yes,0
Male,24,Less than 25,Hispanic,0,4,0,0,1,Yes,0
Male,42,25 - 45,Caucasian,0,3,0,0,1,No,0
Male,43,25 - 45,Caucasian,0,1,0,0,1,No,0
